,Unnamed: 0,POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year,TeamName,unique,imaged_url
0,0,1,Shubman Gill,17,17,2,890,129,59.33,564,157.8,3,4,85,33,2023,GT,shubmangill,https://scores.iplt20.com/ipl/playerimages/Shubman%20Gill.png
1,1,2,Faf Du Plessis,14,14,1,730,84,56.15,475,153.68,0,8,60,36,2023,RCB,fafduplessis,https://scores.iplt20.com/ipl/playerimages/Faf%20Du%20Plessis.png
2,2,3,Devon Conway,16,15,2,672,92,51.69,481,139.7,0,6,77,18,2023,CSK,devonconway,https://scores.iplt20.com/ipl/playerimages/Devon%20Conway.png
3,3,4,Virat Kohli,14,14,2,639,101,53.25,457,139.82,2,6,65,16,2023,RCB,viratkohli,https://scores.iplt20.com/ipl/playerimages/Virat%20Kohli.png
4,4,5,Yashasvi Jaiswal,14,14,1,625,124,48.08,382,163.61,1,5,82,26,2023,RR,yashasvijaiswal,https://scores.iplt20.com/ipl/playerimages/Yashasvi%20Jaiswal.png
5,5,6,Suryakumar Yadav,16,16,2,605,103,43.21,334,181.13,1,5,65,28,2023,MI,suryakumaryadav,https://scores.iplt20.com/ipl/playerimages/Suryakumar%20Yadav.png
6,6,7,Ruturaj Gaikwad,16,15,1,590,92,42.14,400,147.5,0,4,46,30,2023,CSK,ruturajgaikwad,https://scores.iplt20.com/ipl/playerimages/Ruturaj%20Gaikwad.png
7,7,8,David Warner,14,14,0,516,86,36.86,392,131.63,0,6,69,10,2023,DC,davidwarner,https://scores.iplt20.com/ipl/playerimages/David%20Warner.png
8,8,9,Rinku Singh,14,14,6,474,67,59.25,317,149.52,0,4,31,29,2023,KKR,rinkusingh,https://scores.iplt20.com/ipl/playerimages/Rinku%20Singh.png
9,9,10,Ishan Kishan,15,15,0,454,75,30.27,318,142.76,0,3,54,18,2023,MI,ishankishan,https://scores.iplt20.com/ipl/playerimages/Ishan%20Kishan.png
10,10,11,Cameron Green,16,16,7,452,100,50.22,282,160.28,1,2,40,22,2023,MI,camerongreen,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png
11,11,12,Heinrich Klaasen,12,11,2,448,104,49.78,253,177.07,1,2,32,25,2023,SRH,heinrichklaasen,https://scores.iplt20.com/ipl/playerimages/Heinrich%20Klaasen.png
12,12,13,Shivam Dube,16,14,3,418,52,38.0,264,158.33,0,3,12,35,2023,CSK,shivamdube,https://scores.iplt20.com/ipl/playerimages/Shivam%20Dube.png
13,13,14,Nitish Rana,14,14,1,413,75,31.77,293,140.95,0,3,39,20,2023,KKR,nitishrana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
14,14,15,Marcus Stoinis,15,15,2,408,89,31.38,272,150.0,0,3,28,27,2023,LSG,marcusstoinis,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
15,15,16,Venkatesh Iyer,14,14,0,404,104,28.86,277,145.84,1,2,32,21,2023,KKR,venkateshiyer,https://scores.iplt20.com/ipl/playerimages/Venkatesh%20Iyer.png
16,16,17,Glenn Maxwell,14,14,2,400,77,33.33,218,183.48,0,5,29,31,2023,RCB,glennmaxwell,https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png
17,17,18,Jos Buttler,14,14,0,392,95,28.0,282,139.0,0,4,42,14,2023,RR,josbuttler,https://scores.iplt20.com/ipl/playerimages/Jos%20Buttler.png
18,18,19,Kyle Mayers,13,13,0,379,73,29.15,263,144.1,0,4,38,22,2023,LSG,kylemayers,https://scores.iplt20.com/ipl/playerimages/Kyle%20Mayers.png
19,19,20,Shikhar Dhawan,11,11,2,373,99,41.44,261,142.91,0,3,49,12,2023,PBKS,shikhardhawan,https://scores.iplt20.com/ipl/playerimages/Shikhar%20Dhawan.png
20,20,21,Wriddhiman Saha,17,17,1,371,81,23.19,287,129.26,0,2,47,8,2023,GT,wriddhimansaha,https://scores.iplt20.com/ipl/playerimages/Wriddhiman%20Saha.png
21,21,22,Sanju Samson,14,14,2,362,66,30.17,236,153.38,0,3,25,24,2023,RR,sanjusamson,https://scores.iplt20.com/ipl/playerimages/Sanju%20Samson.png
22,22,23,Sai Sudharsan,8,8,1,362,96,51.71,256,141.4,0,3,33,12,2023,GT,saisudharsan,https://scores.iplt20.com/ipl/playerimages/Sai%20Sudharsan.png
23,23,24,Nicholas Pooran,15,15,3,358,62,29.83,207,172.94,0,2,26,26,2023,LSG,nicholaspooran,https://scores.iplt20.com/ipl/playerimages/Nicholas%20Pooran.png
24,24,25,Simran Singh,14,14,0,358,103,25.57,238,150.42,1,1,38,19,2023,PBKS,simransingh,https://scores.iplt20.com/ipl/playerimages/Simran%20Singh.png
25,25,26,Hardik Pandya,16,15,4,346,66,31.45,253,136.75,0,2,26,15,2023,GT,hardikpandya,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
26,26,27,Tilak Varma,11,11,3,343,84,42.88,209,164.11,0,1,26,23,2023,MI,tilakvarma,https://scores.iplt20.com/ipl/playerimages/Tilak%20Varma.png
27,27,28,Rohit Sharma,16,16,0,332,65,20.75,250,132.8,0,2,35,17,2023,MI,rohitsharma,https://scores.iplt20.com/ipl/playerimages/Rohit%20Sharma.png
28,28,29,Ajinkya Rahane,14,11,1,326,71,32.6,189,172.48,0,2,24,16,2023,CSK,ajinkyarahane,https://scores.iplt20.com/ipl/playerimages/Ajinkya%20Rahane.png
29,29,30,Jitesh Sharma,14,14,1,309,49,23.77,198,156.06,0,0,22,21,2023,PBKS,jiteshsharma,https://scores.iplt20.com/ipl/playerimages/Jitesh%20Sharma.png
30,30,31,Vijay Shankar,14,10,2,301,63,37.63,188,160.1,0,3,27,15,2023,GT,vijayshankar,https://scores.iplt20.com/ipl/playerimages/Vijay%20Shankar.png
31,31,32,Shimron Hetmyer,14,13,5,300,56,37.5,197,152.28,0,1,12,23,2023,RR,shimronhetmyer,https://scores.iplt20.com/ipl/playerimages/Shimron%20Hetmyer.png
32,32,33,Jason Roy,8,8,0,285,61,35.63,188,151.59,0,2,36,12,2023,KKR,jasonroy,https://scores.iplt20.com/ipl/playerimages/Jason%20Roy.png
33,33,34,Axar Patel,14,13,3,283,54,28.3,203,139.4,0,1,21,15,2023,DC,axarpatel,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
34,34,35,Liam Livingstone,9,9,1,279,94,34.88,171,163.15,0,2,20,19,2023,PBKS,liamlivingstone,https://scores.iplt20.com/ipl/playerimages/Liam%20Livingstone.png
35,35,36,Sam Curran,14,13,3,276,55,27.6,203,135.96,0,1,20,13,2023,PBKS,samcurran,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png
36,36,37,K L Rahul,9,9,1,274,74,34.25,242,113.22,0,2,28,4,2023,LSG,klrahul,https://scores.iplt20.com/ipl/playerimages/K%20L%20Rahul.png
37,37,38,Rahul Tripathi,13,13,1,273,74,22.75,213,128.16,0,1,29,10,2023,SRH,rahultripathi,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tripathi.png
38,38,39,Mayank Agarwal,10,10,0,270,83,27.0,210,128.57,0,1,29,6,2023,SRH,mayankagarwal,https://scores.iplt20.com/ipl/playerimages/Mayank%20Agarwal.png
39,39,40,Devdutt Padikkal,11,11,1,261,52,26.1,200,130.5,0,2,31,6,2023,RR,devduttpadikkal,https://scores.iplt20.com/ipl/playerimages/Devdutt%20Padikkal.png
40,40,41,David Miller,16,13,5,259,46,32.38,178,145.5,0,0,18,13,2023,GT,davidmiller,https://scores.iplt20.com/ipl/playerimages/David%20Miller.png
41,41,42,Aiden Markram,13,13,2,248,50,22.55,197,125.88,0,1,18,8,2023,SRH,aidenmarkram,https://scores.iplt20.com/ipl/playerimages/Aiden%20Markram.png
42,42,43,Nehal Wadera,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023,MI,nehalwadera,https://scores.iplt20.com/ipl/playerimages/Nehal%20Wadera.png
43,43,44,Ayush Badoni,15,12,2,238,59,23.8,172,138.37,0,1,13,12,2023,LSG,ayushbadoni,https://scores.iplt20.com/ipl/playerimages/Ayush%20Badoni.png
44,44,45,Tim David,16,15,6,231,45,25.67,146,158.21,0,0,12,15,2023,MI,timdavid,https://scores.iplt20.com/ipl/playerimages/Tim%20David.png
45,45,46,Andre Russell,14,14,3,227,42,20.64,156,145.51,0,0,13,18,2023,KKR,andrerussell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
46,46,47,Rahmanullah Gurbaz,11,11,0,227,81,20.64,170,133.52,0,2,17,15,2023,KKR,rahmanullahgurbaz,https://scores.iplt20.com/ipl/playerimages/Rahmanullah%20Gurbaz.png
47,47,48,Abhishek Sharma,11,11,0,226,67,20.55,157,143.94,0,2,28,6,2023,SRH,abhisheksharma,https://scores.iplt20.com/ipl/playerimages/Abhishek%20Sharma.png
48,48,49,Phil Salt,9,9,1,218,87,27.25,133,163.9,0,2,24,10,2023,DC,philsalt,https://scores.iplt20.com/ipl/playerimages/Phil%20Salt.png
49,49,50,Rilee Rossouw,9,9,2,209,82,29.86,141,148.22,0,1,17,11,2023,DC,rileerossouw,https://scores.iplt20.com/ipl/playerimages/Rilee%20Rossouw.png
50,50,51,Ravindra Jadeja,16,12,4,190,25,23.75,133,142.85,0,0,11,9,2023,CSK,ravindrajadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
51,51,52,Harry Brook,11,11,2,190,100,21.11,154,123.37,1,0,23,4,2023,SRH,harrybrook,https://scores.iplt20.com/ipl/playerimages/Harry%20Brook.png
52,52,53,Krunal Pandya,15,14,4,188,49,18.8,165,113.93,0,0,15,6,2023,LSG,krunalpandya,https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png
53,53,54,Atharva Taide,7,7,0,186,66,26.57,129,144.18,0,2,20,6,2023,PBKS,atharvataide,https://scores.iplt20.com/ipl/playerimages/Atharva%20Taide.png
54,54,55,Abdul Samad,9,8,4,169,37,42.25,128,132.03,0,0,10,11,2023,SRH,abdulsamad,https://scores.iplt20.com/ipl/playerimages/Abdul%20Samad.png
55,55,56,Manish Pandey,10,9,0,160,50,17.78,146,109.58,0,1,15,3,2023,DC,manishpandey,https://scores.iplt20.com/ipl/playerimages/Manish%20Pandey.png
56,56,57,Ambati Rayudu,16,12,2,158,27,15.8,113,139.82,0,0,10,9,2023,CSK,ambatirayudu,https://scores.iplt20.com/ipl/playerimages/Ambati%20Rayudu.png
57,57,58,Shahrukh Khan,14,13,6,156,41,22.29,94,165.95,0,0,13,9,2023,PBKS,shahrukhkhan,https://scores.iplt20.com/ipl/playerimages/Shahrukh%20Khan.png
58,58,59,Dhruv Jurel,13,11,4,152,34,21.71,88,172.72,0,0,11,9,2023,RR,dhruvjurel,https://scores.iplt20.com/ipl/playerimages/Dhruv%20Jurel.png
59,59,60,Quinton De Kock,4,4,0,143,70,35.75,102,140.19,0,1,10,8,2023,LSG,quintondekock,https://scores.iplt20.com/ipl/playerimages/Quinton%20De%20Kock.png
60,60,61,Dinesh Karthik,13,13,1,140,30,11.67,104,134.61,0,0,13,5,2023,RCB,dineshkarthik,https://scores.iplt20.com/ipl/playerimages/Dinesh%20Karthik.png
61,61,62,Sikandar Raza,7,7,2,139,57,27.8,98,141.83,0,1,10,6,2023,PBKS,sikandarraza,https://scores.iplt20.com/ipl/playerimages/Sikandar%20Raza.png
62,62,63,Mahipal Lomror,12,10,2,135,54,16.88,97,139.17,0,1,9,8,2023,RCB,mahipallomror,https://scores.iplt20.com/ipl/playerimages/Mahipal%20Lomror.png
63,63,64,Rashid Khan,17,9,5,130,79,32.5,60,216.66,0,1,8,13,2023,GT,rashidkhan,https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png
64,64,65,Mitchell Marsh,9,9,0,128,63,14.22,97,131.95,0,1,11,7,2023,DC,mitchellmarsh,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png
65,65,66,Moeen Ali,15,10,3,124,23,17.71,91,136.26,0,0,12,6,2023,CSK,moeenali,https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png
66,66,67,Matthew Short,6,6,0,117,36,19.5,92,127.17,0,0,15,4,2023,PBKS,matthewshort,https://scores.iplt20.com/ipl/playerimages/Matthew%20Short.png
67,67,68,Abhinav Manohar,9,6,0,114,42,19.0,83,137.34,0,0,6,7,2023,GT,abhinavmanohar,https://scores.iplt20.com/ipl/playerimages/Abhinav%20Manohar.png
68,68,69,Shardul Thakur,11,10,2,113,68,14.13,70,161.42,0,1,13,4,2023,KKR,shardulthakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
69,69,70,Aman Khan,11,9,1,110,51,13.75,101,108.91,0,1,7,6,2023,DC,amankhan,https://scores.iplt20.com/ipl/playerimages/Aman%20Khan.png
