,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year,TeamName,unique,imaged_url
0,1,Mohammad Shami,17,17,65.0,522,28,11/4,18.64,8.03,13.92,2,0,2023,GT,mohammadshami,https://scores.iplt20.com/ipl/playerimages/Mohammad%20Shami.png
1,2,Mohit Sharma,14,14,44.1,361,27,10/5,13.37,8.17,9.81,2,1,2023,GT,mohitsharma,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png
2,3,Rashid Khan,17,17,67.0,552,27,30/4,20.44,8.23,14.88,1,0,2023,GT,rashidkhan,https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png
3,4,Piyush Chawla,16,16,61.0,495,22,22/3,22.5,8.11,16.63,0,0,2023,MI,piyushchawla,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png
4,5,Yuzvendra Chahal,14,14,52.5,432,21,17/4,20.57,8.17,15.09,3,0,2023,RR,yuzvendrachahal,https://scores.iplt20.com/ipl/playerimages/Yuzvendra%20Chahal.png
5,6,Tushar Deshpande,16,16,56.5,564,21,45/3,26.85,9.92,16.23,0,0,2023,CSK,tushardeshpande,https://scores.iplt20.com/ipl/playerimages/Tushar%20Deshpande.png
6,7,Ravindra Jadeja,16,16,57.0,431,20,20/3,21.55,7.56,17.1,0,0,2023,CSK,ravindrajadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
7,8,Varun Chakaravarthy,14,14,52.4,429,20,15/4,21.45,8.14,15.8,1,0,2023,KKR,varunchakaravarthy,https://scores.iplt20.com/ipl/playerimages/Varun%20Chakaravarthy.png
8,9,Mohammed Siraj,14,14,50.0,376,19,21/4,19.78,7.52,15.78,1,0,2023,RCB,mohammedsiraj,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png
9,10,Matheesha Pathirana,12,12,46.2,371,19,15/3,19.52,8.0,14.63,0,0,2023,CSK,matheeshapathirana,https://scores.iplt20.com/ipl/playerimages/Matheesha%20Pathirana.png
10,11,Arshdeep Singh,14,14,50.5,493,17,29/4,29.0,9.69,17.94,1,0,2023,PBKS,arshdeepsingh,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png
11,12,Ravi Bishnoi,15,14,50.3,391,16,28/3,24.43,7.74,18.93,0,0,2023,LSG,ravibishnoi,https://scores.iplt20.com/ipl/playerimages/Ravi%20Bishnoi.png
12,13,Noor Ahmad,13,13,47.1,369,16,37/3,23.06,7.82,17.68,0,0,2023,GT,noorahmad,https://scores.iplt20.com/ipl/playerimages/Noor%20Ahmad.png
13,14,Bhuvneshwar Kumar,14,14,51.0,425,16,30/5,26.56,8.33,19.12,0,1,2023,SRH,bhuvneshwarkumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
14,15,Ravichandran Ashwin,13,13,49.0,368,14,23/2,26.28,7.51,21.0,0,0,2023,RR,ravichandranashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png
15,16,Akash Madhwal,8,8,25.3,219,14,5/5,15.64,8.58,10.92,1,1,2023,MI,akashmadhwal,https://scores.iplt20.com/ipl/playerimages/Akash%20Madhwal.png
16,17,Jason Behrendorff,12,12,42.0,387,14,23/3,27.64,9.21,18.0,0,0,2023,MI,jasonbehrendorff,https://scores.iplt20.com/ipl/playerimages/Jason%20Behrendorff.png
17,18,Harshal Patel,13,13,47.0,454,14,32/3,32.42,9.65,20.14,0,0,2023,RCB,harshalpatel,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png
18,19,Trent Boult,10,10,38.0,312,13,29/3,24.0,8.21,17.53,0,0,2023,RR,trentboult,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png
